Timestamp,Ax,Ay,Az,Rx,Ry,Rz,EMG
0,0.0254,-1.03,-0.1777,0.1248,0.0478,-0.1254,2047
0,0.0105,-1.0208,-0.2173,0.1393,0.0462,-0.1237,2040
0,-0.0178,-0.9907,-0.2451,0.1546,0.0483,-0.1352,2045
0,-0.0247,-1.0007,-0.2434,0.1907,0.0388,-0.155,2032
0,-0.0156,-0.9922,-0.2324,0.2061,0.0145,-0.1527,2045
0,0.009,-0.9851,-0.2058,0.2057,0.0176,-0.1706,2050
0,0.0071,-1.0044,-0.1885,0.2226,0.0348,-0.1712,2031
0,-0.0039,-1.0256,-0.1599,0.234,0.0483,-0.1697,2049
0,-0.0327,-1.0349,-0.1362,0.2216,0.0642,-0.1927,2046
0,-0.0176,-1.0164,-0.1411,0.2121,0.0589,-0.1886,2032
0,-0.0066,-1.019,-0.1338,0.2108,0.0497,-0.2056,2043
0,0.0107,-1.0229,-0.1345,0.2151,0.0352,-0.21,2045
0,0.0354,-0.9932,-0.1274,0.2109,0.0092,-0.2079,2035
0,0.0564,-1.0071,-0.1226,0.1936,0.0055,-0.2171,2032
0,0.0281,-1.0151,-0.1018,0.1934,0.0281,-0.1887,2029
0,0.0205,-1.0142,-0.1006,0.1939,0.0411,-0.1744,2047
0,0.0281,-1.0237,-0.1047,0.2008,0.0527,-0.1595,2041
0,0.0093,-1.0278,-0.1389,0.1916,0.0413,-0.1677,2037
0,0.0098,-1.0303,-0.134,0.178,0.0601,-0.1759,2039
0,0.0466,-1.0273,-0.1372,0.1755,0.0852,-0.1875,2024
0,0.0359,-1.0225,-0.1169,0.1871,0.1028,-0.175,2033
0,0.0632,-1.0042,-0.1248,0.1678,0.0878,-0.1903,2043
0,0.0903,-1.0024,-0.1165,0.1662,0.0863,-0.1891,2026
0,0.0691,-1.0012,-0.0986,0.1635,0.0884,-0.1803,2039
0,0.0845,-0.9976,-0.0906,0.1559,0.0751,-0.1802,2032
0,0.0908,-1.0051,-0.0972,0.165,0.0439,-0.1647,2034
0,0.0671,-1.0354,-0.0928,0.1762,0.0258,-0.1497,2035
0,0.0591,-1.0391,-0.1077,0.1625,0.0036,-0.1526,2036
0,0.0654,-1.0227,-0.1228,0.1477,0.0083,-0.1434,2041
0,0.0815,-1.0027,-0.1201,0.1473,0.0176,-0.135,2045
0,0.0972,-0.9954,-0.1113,0.1562,0.0214,-0.1246,2043
0,0.1104,-0.9927,-0.1138,0.1538,0.0365,-0.1108,2016
0,0.1106,-1.0059,-0.0977,0.1531,0.0517,-0.0975,2045
0,0.1057,-1.0129,-0.092,0.1573,0.0397,-0.0782,2042
0,0.0942,-1.022,-0.0952,0.1409,0.0314,-0.0597,2043
0,0.0784,-1.0222,-0.093,0.1368,0.0278,-0.0486,2042
0,0.0771,-1.0217,-0.094,0.1334,0.02,-0.039,2041
0,0.0886,-1.0137,-0.0942,0.1346,0.0302,-0.0305,2038
0,0.0928,-1.002,-0.085,0.1296,0.0148,-0.0226,2033
0,0.0901,-0.9917,-0.0815,0.1248,0.0015,-0.0184,2033
0,0.1067,-0.9827,-0.0872,0.0875,0.01,-0.0134,2024
0,0.0894,-0.999,-0.0823,0.0672,0.0057,-0.0052,2037
0,0.0894,-1.0054,-0.0947,0.0563,-0.0041,0.0007,2038
0,0.0676,-1.0107,-0.1001,0.0434,-0.0052,0.0031,2038
0,0.0657,-0.9961,-0.1013,0.0353,-0.0088,-0.0029,2046
0,0.0657,-0.979,-0.1086,0.0316,-0.0204,-0.014,2057
0,0.0745,-0.9951,-0.113,0.0316,-0.026,-0.0198,2054
0,0.0435,-1.0208,-0.114,0.0495,-0.0134,-0.0226,2041
0,0.0532,-1.0132,-0.1182,0.0348,-0.0142,-0.0252,2031
0,0.0576,-1.0125,-0.1218,0.0493,-0.0077,-0.0304,2041
0,0.0554,-1.0186,-0.127,0.0655,-0.0005,-0.0256,2039
0,0.0703,-0.9988,-0.1155,0.0643,0.0071,-0.0276,2034
0,0.0696,-0.9985,-0.1082,0.0585,0.0198,-0.034,2046
0,0.0754,-0.9954,-0.0974,0.0585,0.0148,-0.0403,2045
0,0.0759,-0.9956,-0.0959,0.0539,0.0097,-0.0415,2033
0,0.0903,-1.001,-0.0898,0.0649,-0.0056,-0.0413,2027
0,0.0759,-1.01,-0.1055,0.071,-0.024,-0.038,2054
0,0.073,-1.0269,-0.0945,0.0663,-0.0127,-0.0329,2040
0,0.0571,-1.0264,-0.1023,0.0653,-0.0208,-0.0238,2051
0,0.0642,-1.032,-0.1033,0.0629,0.0049,-0.0189,2017
0,0.0608,-1.031,-0.0764,0.0631,0.0193,-0.0178,2041
0,0.0601,-1.0344,-0.0576,0.0505,0.0329,-0.0133,2044
0,0.0769,-1.0225,-0.0496,0.0296,0.0322,-0.0115,2029
0,0.0781,-1.0107,-0.0508,0.0212,0.0336,-0.0044,2046
0,0.0977,-1.0151,-0.0469,-0.004,0.0473,0.0005,2032
0,0.0874,-1.0093,-0.0623,-0.025,0.0485,0.0093,2032
0,0.0833,-1.0159,-0.0679,-0.0425,0.0597,0.016,2030
0,0.0801,-1.0247,-0.085,-0.0372,0.0581,0.0224,2058
0,0.0664,-1.0261,-0.0952,-0.0301,0.0617,0.0286,2051
0,0.0703,-1.0159,-0.1147,-0.027,0.0617,0.0362,2034
0,0.0747,-1.0208,-0.124,-0.0156,0.0641,0.0466,2047
0,0.0632,-1.0083,-0.1401,0.0035,0.0758,0.0523,2038
0,0.0723,-1.0037,-0.1467,0.014,0.0698,0.0543,2046
0,0.0701,-0.9905,-0.1509,0.0185,0.0787,0.0451,2050
0,0.063,-0.9954,-0.1377,0.0471,0.066,0.0386,2053
0,0.053,-1.009,-0.1519,0.0664,0.0738,0.0358,2006
0,0.0361,-1.0239,-0.1509,0.079,0.067,0.0318,2031
0,0.0315,-1.0264,-0.1472,0.1073,0.0649,0.0324,2018
0,0.0369,-1.0303,-0.1372,0.1234,0.0598,0.0241,2032
0,0.0356,-1.0115,-0.1003,0.1466,0.0597,0.0226,2032
0,0.0542,-0.9966,-0.1116,0.167,0.0324,0.0152,2047
0,0.0693,-1.011,-0.0979,0.1662,0.022,0.0138,2040
0,0.0562,-1.0061,-0.0964,0.1689,0.0249,0.0145,2044
0,0.0674,-0.9993,-0.1042,0.1598,0.038,0.0103,2040
0,0.0825,-1.0042,-0.1064,0.1834,0.0182,0.0136,2048
0,0.0725,-1.0034,-0.1104,0.189,0.0124,0.0168,2038
0,0.0706,-1.0083,-0.115,0.1916,0.0017,0.023,2050
0,0.0852,-1.0164,-0.1111,0.2088,0.0036,0.0357,2037
0,0.0791,-1.0117,-0.113,0.2153,0.0099,0.0433,2051
0,0.0935,-0.9963,-0.1082,0.2318,0.0061,0.0561,2048
0,0.1074,-0.991,-0.093,0.2354,0.0023,0.0625,2041
0,0.0935,-1.0002,-0.0925,0.2304,0.0185,0.0795,2041
0,0.0977,-0.9961,-0.0901,0.2153,0.0285,0.0856,2046
0,0.1184,-0.9919,-0.0789,0.2172,0.0302,0.102,2059
0,0.1179,-0.9832,-0.0576,0.2172,0.0336,0.1246,2065
0,0.1155,-0.9854,-0.0339,0.2088,0.0462,0.1397,2036
0,0.1123,-0.9851,-0.0337,0.2051,0.0501,0.1562,2047
0,0.1257,-0.9905,-0.0098,0.187,0.0385,0.169,2041
0,0.1025,-0.9866,-0.0112,0.1591,0.0409,0.1876,2030
0,0.0891,-1.002,-0.0159,0.1373,0.0325,0.1996,2023
0,0.0867,-1.0054,-0.0273,0.1136,0.0277,0.2204,2041
0,0.0654,-1.03,-0.0403,0.1079,0.0333,0.2305,2037
0,0.0493,-1.012,-0.0557,0.0952,0.0426,0.2413,2058
0,0.0598,-0.9915,-0.0508,0.0952,0.0626,0.2499,2033
1,0.0503,-0.9963,-0.0459,0.0876,0.0609,0.2474,2021
1,0.0298,-1.0095,-0.0474,0.0908,0.0445,0.2505,2030
1,0.0344,-1.011,-0.0503,0.0907,0.0269,0.2527,2040
1,0.0315,-0.9998,-0.0632,0.0979,0.0023,0.2546,2048
1,0.0347,-0.9983,-0.093,0.1079,-0.0115,0.2578,2008
1,0.0437,-1.0078,-0.0955,0.116,-0.0115,0.263,2051
1,0.0435,-0.9983,-0.0986,0.1388,-0.0068,0.271,2029
1,0.0491,-0.9946,-0.0869,0.1511,-0.0134,0.2832,2032
1,0.0559,-0.9724,-0.075,0.1557,-0.0084,0.2948,2046
1,0.0645,-0.9805,-0.0676,0.1603,-0.025,0.3032,2055
1,0.0532,-0.9888,-0.072,0.1738,-0.0441,0.3189,2040
1,0.0552,-0.9888,-0.0542,0.1847,-0.068,0.3306,2031
1,0.0679,-0.9836,-0.0593,0.1951,-0.0774,0.3472,2057
1,0.0681,-0.98,-0.0427,0.2073,-0.1,0.3753,2042
1,0.0698,-0.979,-0.0466,0.2313,-0.1382,0.4026,2039
1,0.0806,-0.9753,-0.0427,0.2461,-0.1559,0.4388,2033
1,0.0811,-0.9675,-0.0352,0.2538,-0.1601,0.4771,2044
1,0.0703,-0.9692,-0.0286,0.2511,-0.1517,0.508,2029
1,0.0645,-0.9775,-0.0134,0.2265,-0.1555,0.536,2050
1,0.0337,-0.9829,-0.0203,0.2232,-0.1229,0.5626,2055
1,-0.0393,-1.0085,-0.0847,0.2408,-0.12,0.5835,2047
