,timestamp,node,accx,accy,accz,gyrox,gyroy,gyroz,q0,q1,q2,q3,timestamp,node,accx,accy,accz,gyrox,gyroy,gyroz,q0,q1,q2,q3,timestamp,node,accx,accy,accz,gyrox,gyroy,gyroz,q0,q1,q2,q3,timestamp,node,accx,accy,accz,gyrox,gyroy,gyroz,q0,q1,q2,q3,timestamp,node,accx,accy,accz,gyrox,gyroy,gyroz,q0,q1,q2,q3,timestamp,node,accx,accy,accz,gyrox,gyroy,gyroz,q0,q1,q2,q3,timestamp,node,accx,accy,accz,gyrox,gyroy,gyroz,q0,q1,q2,q3,timestamp,node,accx,accy,accz,gyrox,gyroy,gyroz,q0,q1,q2,q3,timestamp,node,accx,accy,accz,gyrox,gyroy,gyroz,q0,q1,q2,q3
0,0.051,0.0,-1.7e-16,7.6e-17,1.0,-0.016872796,-0.042171176,0.005363716,0.9999973856512673,-0.0008436375944313541,-0.0021083270358687924,0.0002681852897436678,0.051,1.0,-3.15e-17,-3.06e-17,1.0,-0.012842624,-0.004883498,0.008474588,0.9999996743162535,-0.0006421309908683067,-0.0002439027306967202,0.00042372943671555816,0.051,2.0,-7.71e-17,-9.01e-17,1.0,-0.005848928,-0.037032584,0.003425227,0.999998228404422,-0.00029244588190325546,-0.0018515758349853567,0.000171261061241233,0.051,3.0,1.11e-17,2.64e-17,1.0,0.00551606,-0.017142068,-0.014781405,0.999999321716154,0.0002758028129272817,-0.000856898980986709,-0.0007390698049196248,0.0,4.0,2.48e-17,5.16e-17,1.0,-0.028235175,-0.027957038,0.022680795,0.9999973856949264,-0.0014117550592319347,-0.0013962472592342543,0.0011340390454806224,0.05,5.0,-5.61e-17,9.97e-17,1.0,0.0416817,0.03098899,0.007012525,0.9999965675777044,0.002084077846540185,0.0015487134492349526,0.00035062656941107606,0.049,6.0,-5.16e-18,4.67e-18,1.0,0.014289523,0.005409018,-0.005993768,0.9999996632256947,0.0007144759093827912,0.0002706649290612078,-0.0002996884520563821,0.05,7.0,-5.57e-17,5.95e-18,1.0,0.017803354,0.040831241,0.001694042,0.999997516388884,0.0008901654891696057,0.002041481580667521,8.470195675057609e-05,0.05,8.0,-3.21e-17,4.53e-17,1.0,0.003879588,-0.008154912,-0.000289287,0.9999998979543099,0.0001939793802052405,-0.00040774275260566914,-1.446434906824004e-05
1,0.119,0.0,0.00315969,-0.00173565,0.979768852,-0.015322304,-0.030421741,0.000392767,0.9999922486275007,-0.0016135460774638149,-0.0035800103461397226,0.0002875411140165446,0.12,1.0,1.86e-17,-8.47e-17,0.980109178,-0.001992724,-0.014985633,-0.006942966,0.9999992982160043,-0.000677151705502455,-0.0009690708143747769,7.703780556336234e-05,0.12,2.0,0.00121264,0.000285137,0.980536816,0.003017517,-0.018143486,0.003825995,0.9999964566804888,-9.797446522851592e-05,-0.0026353775767647644,0.0003630599112659091,0.12,3.0,-1.99e-17,5.66e-17,0.978897339,-0.005873799,-0.004637016,-0.022263394,0.999997780128401,-4.468437013186012e-05,-0.0010028916691776997,-0.0018525522603147257,0.052,4.0,0.000943557,0.000185285,0.979568821,-0.015379451,-0.016838625,-0.048329303,0.9999948094377881,-0.0020257033617913493,-0.0021524635373074415,-0.001282389992235341,0.115,5.0,-0.002651428,0.001289356,0.979777172,0.039668036,0.030640023,0.008582251,0.9999873111763306,0.003924920694323292,0.0030601616935993434,0.0007796757561811961,0.114,6.0,4.55e-19,5.8e-19,0.979245117,0.006756632,0.000165939,0.004655245,0.999999485004735,0.000980925241154909,0.0002515658189395636,-6.701175079872901e-05,0.115,7.0,8.16e-05,0.000984024,0.979530513,0.002711701,0.009462716,-0.008141697,0.9999968014419155,0.000986092337758765,0.0023067204697100737,-0.00032213120653920563,0.115,8.0,-0.000633307,0.000771139,0.979729046,0.011888808,0.003866103,-0.002826602,0.9999996511446969,0.0008084371734954078,-0.00014123773714211523,-0.0001555368853908432
2,0.209,0.0,0.002443359,-0.000158685,0.979761708,0.02045447,0.049350353,-0.001304591,0.9999994932390653,-0.0004380000710754576,-0.000878905588446737,0.00022181640276708136,0.209,1.0,0.00078141,0.000609758,0.979976539,0.018354122,-0.036467163,-0.002933785,0.9999961992023927,0.0003396635781507348,-0.002735258985397268,-6.75847992816168e-05,0.209,2.0,0.002415335,-0.000325833,0.980112269,0.001213144,0.001849584,-0.009502645,0.9999971066164572,-4.2878825002158906e-05,-0.0024025821839213893,-0.00011188820030561092,0.21,3.0,0.000566625,-0.001276811,0.978676682,-0.02299495,0.000261705,-0.021014613,0.9999945749268304,-0.0012541638597448844,-0.000917531657100773,-0.0029043631968022772,0.12,4.0,0.001799536,0.001309525,0.979626994,0.014331614,-0.013800486,-0.019181207,0.9999932522383516,-0.0010386582853861741,-0.0027210842472837104,-0.002238831670740854,0.246,5.0,-0.00306743,0.002536201,0.980299015,0.013416511,-0.000466033,-0.010934078,0.9999864183900478,0.0043308285559623795,0.002890289890923157,0.0002306161519604026,0.246,6.0,0.000781567,-0.000621811,0.979295156,-0.005673765,-0.012384079,0.021927006,0.999999215776417,0.00056762783784174,-0.00043330006364801873,0.0010288324661363662,0.247,7.0,-0.000874368,0.001226302,0.9805441,0.003893841,-0.016959066,-0.04169313,0.9999956386976986,0.0011396360183381852,0.0012749722497656104,-0.00240795786715436,0.247,8.0,-0.000633307,0.000771139,0.979729046,0.019942119,0.015185938,-0.014069237,0.999997853849317,0.0017642737152708612,0.0006655818015682183,-0.0008582749459648707
3,0.275,0.0,0.000455398,0.000839652,0.979535139,0.012253176,0.037873276,-0.002256138,0.9999993772888792,0.0002610031666223824,0.0010795786846805179,0.00010866952095021566,0.275,1.0,0.003726927,7.35e-05,0.979785744,-0.005259804,-0.030049114,0.003249868,0.9999913651909365,4.5901146506404806e-05,-0.004154353238235813,9.373272562368126e-05,0.275,2.0,0.001815822,-0.001599582,0.980246981,0.003420464,-0.016939755,0.072711711,0.9999889772776013,4.200113380328988e-05,-0.003102070956113666,0.003524303475179832,0.275,3.0,0.002092532,-0.001657546,0.980266226,0.001095481,-0.023784997,-0.016960175,0.9999900380752186,-0.0011615039033185312,-0.002122645971237892,-0.003750870977008295,0.21,4.0,0.001711958,0.002248481,0.9799597,0.020953383,-0.006950091,0.012015307,0.9999944715238865,0.00022498472884814667,-0.0028865622822376955,-0.0016352558592919763,0.251,5.0,-0.00306743,0.002536201,0.980299015,-0.010114006,-0.018630213,-0.005356176,0.9999921320305142,0.003520810574672427,0.001827064504544235,-4.006570090047243e-05,0.25,6.0,0.001563134,-0.001243622,0.979345195,-0.005343731,-0.012586449,0.014257321,0.999997863111297,0.0001806074179416636,-0.0010995647229905257,0.0017412958450857955,0.251,7.0,-0.001870233,0.001313187,0.980570639,0.011634808,0.056936169,-0.032597254,0.9999820807611977,0.0016793634682094269,0.0040907651528113865,-0.004035286273812067,0.251,8.0,-0.001266613,0.001542279,0.979663727,-0.006650656,-0.013064612,0.00910879,0.9999990288648711,0.0013338257242305523,1.0048849733263236e-05,-0.00040382827126756436
4,0.33,0.0,0.000455398,0.000839652,0.979535139,0.009233914,0.006949436,-0.002638217,0.9999988866466901,0.0007392800707972111,0.0012959990559405095,-2.3596697030808607e-05,0.33,1.0,0.005109622,-0.001682196,0.979860226,-0.023360301,-0.025120346,0.000856006,0.9999854448048846,-0.0012125586706386248,-0.005255707209809178,0.00013199080388396738,0.33,2.0,0.003018516,-0.002210553,0.979822434,-0.019419251,-0.020727689,0.057037601,0.9999712052897805,-0.0010505846948103673,-0.00398306152192604,0.006373388738742636,0.33,3.0,0.005083131,-0.002684921,0.98029483,0.00014762,-0.030348904,0.023333167,0.9999891741219415,-0.0011840528218515069,-0.003685198972947503,-0.002582434193176355,0.275,4.0,0.002974935,0.002143882,0.980587351,-0.026054728,-0.020030964,-0.051572571,0.9999835805277951,-0.0009853582045001293,-0.003751707813726652,-0.0042181076918571415,0.389,5.0,-0.0012694,0.003308777,0.979886443,-0.018171445,-0.027880646,-0.01041345,0.9999968433990393,0.002427983222097767,0.0003163935157685241,-0.00056390120905859,0.389,6.0,0.002344702,-0.001865433,0.979395233,-0.003628134,-0.008383891,0.015268789,0.9999956882657707,-0.00011399335537751013,-0.0015288962188537449,0.0025045821477115184,0.389,7.0,-0.001870233,0.001313187,0.980570639,-0.001500648,-0.01872152,-0.034478533,0.9999782517869984,0.001492909256548087,0.0028435987035239224,-0.005760305667529861,0.39,8.0,-0.001266613,0.001542279,0.979663727,0.009309776,0.004472163,-0.021434291,0.9999973449326968,0.0017447502155559372,0.00029894668592832404,-0.0014753322071468288
5,0.395,0.0,-0.000260933,0.002416617,0.979527994,0.065371613,0.029466356,-0.00157552,0.9999882441633907,0.004057177910010189,0.0026532507843635266,-0.00010536935319334069,0.395,1.0,0.002633456,0.003927352,0.983521042,-0.176736823,-0.016215691,-0.074911159,0.9999298617983452,-0.009708031076189488,-0.005712071621577594,-0.0036603079591649382,0.395,2.0,-0.014401442,-0.000351545,0.986684587,-0.183904784,-0.064513098,0.052439995,0.9998896205981709,-0.010152075655701913,-0.006112421932910574,0.008962158112906151,0.396,3.0,-0.010815128,0.003485826,0.976273979,0.073408832,-0.056760092,0.207674955,0.999949787932083,0.0027390095073743306,-0.00563891479189165,0.007818061234776475,0.331,4.0,0.006300185,0.000531943,0.980000523,-0.021648019,-0.039253914,0.030067212,0.9999784129765216,-0.0019573343564537674,-0.005653215378712067,-0.002717274195955361,0.489,5.0,2.14e-05,0.000431758,0.980124387,-0.008129829,-0.010611447,-0.018920307,0.9999972081155575,0.0018001202591978371,-0.00024498875210530145,-0.0015110620947009748,0.489,6.0,0.002344702,-0.001865433,0.979395233,-0.006869369,-0.0083871,0.003071296,0.9999944864672337,-0.0005401782328137276,-0.0019160756805708878,0.0026577992017588954,0.49,7.0,-0.001788597,0.002297211,0.980412425,-0.005507236,-0.024776266,-0.046625252,0.9999655680737745,0.0011721742935027213,0.0014153198628231419,-0.008092313884480997,0.49,8.0,-0.001266613,0.001542279,0.979663727,0.009785822,0.006838285,-0.01414815,0.999995102980567,0.0021386664528277323,0.0006762844289864733,-0.0021823748668919865
6,0.46,0.0,-0.000716331,0.001576965,0.979823964,0.00624182,0.01183004,0.006604004,0.9999872494879819,0.004044966769804594,0.003014601042711685,0.0002264637835149092,0.46,1.0,0.006492318,-0.00343793,0.979934707,-0.02632549,-0.02009614,-0.001410888,0.9999197320358173,-0.01023336765509663,-0.006472132612177512,-0.003730840562822094,0.46,2.0,0.003933234,-0.004141524,0.980481707,-0.026720396,-0.017498542,0.013618617,0.9998748134741781,-0.01067851413384159,-0.00658320235827438,0.009643036999874205,0.461,3.0,0.007189681,-0.002412519,0.979596084,0.012926927,-0.032169955,0.037420646,0.9999237063510873,0.002993182695658441,-0.007051860199414339,0.009689871112807308,0.461,4.0,0.008274879,-3.64e-05,0.979118749,-0.021421754,-0.037764573,0.015956463,0.9999667719893539,-0.0028453035248463435,-0.007393421597823538,-0.0019226237592608636,0.519,5.0,-0.000416003,0.001246845,0.979744493,0.006676858,-0.000116847,-0.002425082,0.9999966112647357,0.0020176342301409258,-0.00020545811417639926,-0.0016322984169188472,0.519,6.0,0.002344702,-0.001865433,0.979395233,0.003488916,0.002791714,0.001125001,0.9999947806607504,-0.00040710925843110535,-0.0017043505383290112,0.002714424902568786,0.519,7.0,-0.001788597,0.002297211,0.980412425,0.012357373,0.027650185,-0.034558344,0.9999464038905369,0.0017994207116472218,0.00274459488362933,-0.009819298875707457,0.519,8.0,-0.001266613,0.001542279,0.979663727,-0.004164475,-0.004181089,0.007048157,0.9999966058894013,0.001795214204146907,0.0004638971123663471,-0.0018303592837809884
7,0.469,0.0,-0.000716331,0.001576965,0.979823964,-0.000260494,0.007546737,0.006266456,0.9999880902686186,0.003708773734251791,0.0031258850858067603,0.0005414432008617982,0.469,1.0,0.007007904,-0.004188544,0.979521488,-0.006349594,-0.020838202,0.006277143,0.9999206026135375,-0.009748607437955407,-0.007219438213482074,-0.0034106940469885837,0.47,2.0,0.006037033,-0.004421105,0.97977753,-0.006333676,-0.008496888,0.011962824,0.999873877550269,-0.010149861827333115,-0.006656926378274893,0.010241807880927064,0.47,3.0,0.009289221,-0.003105091,0.979931155,0.004830967,-0.026805316,0.014854862,0.9999083750163511,0.002789337674701378,-0.008162028754814988,0.010432758700460275,0.47,4.0,0.009944855,-0.00136988,0.980315879,-0.009274122,-0.025959491,0.002100252,0.9999577777875842,-0.0030985805910916453,-0.008457856400315909,-0.0018182699327011615,0.594,5.0,-0.000416003,0.001246845,0.979744493,0.005118034,0.007214228,0.009585899,0.9999970359208441,0.002135927617165114,0.00019548282332095327,-0.0011522800032432827,0.594,6.0,0.002344702,-0.001865433,0.979395233,0.004584045,0.003190188,0.009899368,0.9999937057850472,-0.0002333821560448826,-0.001493628573615516,0.003209828148286856,0.594,7.0,-0.001788597,0.002297211,0.980412425,0.000729795,0.01862151,0.005880065,0.9999469668971931,0.0017839605677308736,0.0034903402763154148,-0.009523570892910215,0.595,8.0,-0.00189992,0.002313418,0.979598407,-0.005488839,-0.008227989,0.004176131,0.9999976146605281,0.0014588520207460245,0.00010306420691526978,-0.0016222828991462486
8,0.525,0.0,-0.000260933,0.002416617,0.979527994,-0.000267266,-0.009650601,-0.002432482,0.9999912203756727,0.0034477654982595545,0.002344572123585633,0.00041840912884922395,0.525,1.0,0.007789314,-0.003578786,0.97938885,0.019948915,-0.019377334,0.004758876,0.9999323567284418,-0.007965493326445064,-0.007864834678654332,-0.0031586799533955576,0.525,2.0,0.004834338,-0.003810135,0.980202077,-0.00193981,0.017353423,0.03366341,0.9998700750619485,-0.009443819620920451,-0.005357373140623944,0.011914101712401039,0.525,3.0,0.01018028,-0.003439894,0.979624688,-1.35e-05,-0.003483775,-0.013887788,0.9999174814871868,0.0023471004260590235,-0.0080397712840322,0.009740811753220821,0.525,4.0,0.010800834,-0.000245639,0.980374052,-0.012002042,-0.00490307,-0.028665916,0.9999535661736344,-0.0033906607082070787,-0.0084117882559702,-0.003257412305740485,0.629,5.0,-0.000832005,0.00249369,0.980266336,0.019935095,0.019801133,0.008046473,0.9999943492935575,0.003047544655246383,0.0012059017297275545,-0.0007480999581409298,0.629,6.0,0.002344702,-0.001865433,0.979395233,0.006990953,0.004003588,0.003340783,0.9999934978632865,4.376070747266111e-05,-0.0012629792209797048,0.003377454609219803,0.629,7.0,-0.001788597,0.002297211,0.980412425,-0.007687286,-0.020255828,0.021181668,0.9999608184292846,0.0013332819981181365,0.0022208933189572086,-0.008464726706426104,0.63,8.0,-0.001266613,0.001542279,0.979663727,0.001130635,0.003698026,0.000631657,0.999997627370007,0.0014486211038883343,0.0003420385084769719,-0.0015905222138911555
9,0.604,0.0,-0.000260933,0.002416617,0.979527994,-0.001409827,-0.008147374,0.004201981,0.999993349958855,0.0031565127995320137,0.001715428736652497,0.0006275103685282923,0.604,1.0,0.009352135,-0.00235927,0.979123573,0.01284795,-0.004818831,0.029852668,0.9999461016131796,-0.006661092667470145,-0.007788542221501256,-0.001662023809592202,0.604,2.0,0.003621698,-0.004095272,0.979532599,-0.008050961,0.011677646,0.042196732,0.9998503951124162,-0.009127053469722663,-0.004410744160927431,0.014015335331430435,0.604,3.0,0.010504713,-0.002497886,0.979538877,0.014989822,0.006720782,0.004348982,0.9999189780118095,0.0027345476934333094,-0.0074304878020742034,0.009967322195745882,0.604,4.0,0.010161994,0.000334129,0.978569682,0.001138849,0.008372822,-0.049559066,0.9999496824015494,-0.002957074736298558,-0.007678745488903027,-0.005738052087714293,0.699,5.0,-0.000416003,0.001246845,0.979744493,-0.024732026,-0.020534744,-0.004097472,0.9999983104966557,0.0015688183489059124,8.100344628762571e-05,-0.0009545948166059781,0.699,6.0,0.001563134,-0.001243622,0.979345195,0.00203187,0.001043366,0.002156965,0.9999932448888991,7.744262491042608e-05,-0.0011641976108261256,0.0034855161932267225,0.7,7.0,-0.001788597,0.002297211,0.980412425,-0.014301276,-0.027469497,0.000481543,0.9999639413039954,0.0005912641545156443,0.0007216357106631387,-0.008440719186226003,0.7,8.0,-0.001266613,0.001542279,0.979663727,0.002422271,-0.005621269,-0.007016271,0.999996980719087,0.0015031224644027894,9.16265566980228e-05,-0.0019418496700329849
