Timestamp,Ax,Ay,Az,Rx,Ry,Rz,EMG
0,-0.6731,-0.8987,0.0051,-3.8339,-4.2393,-3.4423,2027
0,-0.6499,-0.313,0.5398,-2.3442,-3.7767,-3.8374,2037
0,-0.4619,-0.4607,1.1558,-0.925,-3.897,-1.7912,2070
0,-0.9299,-1.2876,1.3591,1.5651,-4.1875,-1.2222,2038
0,-0.4998,-1.6252,1.4304,0.037,-3.4111,-1.1443,2006
0,-1.0762,-1.4883,0.5212,-2.2554,-2.1755,-0.9601,2022
0,-2.0,-0.5515,1.5166,-1.7239,-0.1581,-1.6978,2030
0,-0.9446,-0.8833,1.29,-0.7377,-0.4486,-0.1808,2123
0,-1.3748,-0.2617,0.7415,0.9899,1.4355,0.1655,2034
0,-1.2427,-1.3323,0.7959,-0.0916,1.7588,1.1801,2032
0,-1.022,-0.3035,0.8499,1.7888,2.1727,1.9106,2069
0,-0.5352,-0.4685,1.3403,4.2819,3.5306,1.4352,1964
0,1.054,-2.0,1.2854,0.4631,3.9033,2.2816,2071
0,1.365,-2.0,-0.4275,-2.0936,4.3634,-0.3537,2132
0,1.917,-1.7034,-0.6909,-0.9951,4.3634,-0.6697,1944
0,1.1418,-0.981,-0.7136,-1.4684,1.8688,0.5613,2048
0,-0.05,-1.5518,-0.4094,0.1898,0.2155,1.7843,2113
0,-0.8083,-1.1665,-0.1208,1.5581,-0.1836,1.7684,2079
0,-0.8499,-0.6721,-0.3579,1.6571,1.3042,1.6141,2069
0,-0.594,-0.9507,0.3306,0.6513,1.1128,0.9949,2048
0,-0.6479,-0.9219,1.0374,0.9224,0.1409,1.2912,2045
0,-0.5063,-0.9878,0.5869,0.901,-0.0979,0.7383,2073
0,-0.1877,-0.5291,0.4419,0.3709,0.3115,0.1722,2027
0,-0.5977,-1.2917,0.4695,0.0535,-0.4368,0.4554,2012
0,-0.2817,-1.106,0.385,0.0502,-0.608,0.3641,2054
0,-0.1177,-0.9983,0.3171,-0.0241,0.0808,0.0417,2026
0,0.063,-1.0059,0.2273,0.0824,0.1132,0.0748,2029
0,0.2451,-1.1514,-0.0042,-0.0943,0.0466,0.3006,2048
0,0.0986,-1.0972,-0.0586,-0.1483,0.4101,0.3916,2026
0,-0.0601,-1.0234,-0.2119,-0.0839,0.548,0.4626,2037
0,-0.1018,-1.0444,-0.2041,-0.1176,0.6359,0.4318,2058
0,-0.084,-1.0225,-0.1055,-0.159,0.6664,0.3414,2060
0,-0.0828,-0.9768,-0.1555,-0.1216,0.5896,0.2309,2071
0,-0.0547,-0.9355,-0.3015,-0.0031,0.5159,0.1551,2044
0,0.0186,-1.0027,-0.4065,0.1205,0.3148,0.1131,1998
0,0.103,-1.0308,-0.2585,0.2666,0.1035,0.1478,2097
0,0.1338,-0.9993,-0.1282,0.4621,-0.1149,0.2358,2052
0,0.0747,-0.9919,0.0913,0.5125,0.0032,0.2864,2011
0,-0.0015,-1.0071,0.179,0.5028,-0.0059,0.3691,2055
0,-0.0981,-1.1162,0.092,0.2356,0.2333,0.3931,2036
0,-0.0132,-1.0845,-0.05,0.1369,0.5123,0.2687,2059
0,0.2498,-1.0422,-0.1462,0.1605,0.4398,0.3278,2058
0,0.3157,-0.9646,-0.2043,0.2434,0.3061,0.5078,2041
0,0.2222,-0.9414,-0.2625,0.3807,0.1147,0.6375,2043
0,0.0444,-0.9807,-0.2815,0.5105,0.1056,0.6675,2028
0,-0.1113,-0.9707,-0.1677,0.5635,0.1297,0.638,2084
0,-0.1804,-0.9558,0.0024,0.5841,0.0984,0.6457,2047
0,-0.1948,-0.9551,0.1465,0.5597,-0.031,0.6231,2047
0,-0.2107,-1.0005,0.1887,0.4829,-0.186,0.54,2035
0,-0.199,-1.02,0.1187,0.4031,-0.1341,0.436,2051
0,-0.1711,-1.0183,0.0522,0.3516,0.0188,0.3699,2047
0,-0.1216,-1.0273,0.0356,0.3512,0.1284,0.3378,2064
0,-0.0674,-1.031,-0.0017,0.3465,0.1701,0.3364,2059
0,-0.0493,-1.0117,-0.0149,0.3498,0.1667,0.3606,2054
0,-0.094,-0.9988,0.0278,0.3432,0.1378,0.3727,2042
0,-0.0718,-1.0247,0.0601,0.3191,0.1969,0.3819,2027
0,-0.0122,-1.0049,0.0627,0.3274,0.2698,0.4285,2047
0,0.02,-1.0073,0.0457,0.3322,0.247,0.4452,2056
0,0.0286,-1.0066,0.0173,0.3532,0.2181,0.5205,2034
0,0.012,-0.9907,-0.0498,0.4104,0.1507,0.5819,2058
0,0.0261,-0.9851,-0.0728,0.4533,0.2159,0.6633,2059
0,0.0559,-0.97,-0.0688,0.4714,0.2232,0.7811,2027
0,0.0388,-0.9836,-0.095,0.4976,0.236,0.8337,2045
0,0.062,-0.9829,-0.1265,0.5256,0.2653,0.9666,2036
0,0.0056,-0.9922,-0.0645,0.5325,0.2064,1.1034,2061
0,0.0146,-0.9829,-0.0427,0.5725,0.1393,1.295,2058
0,-0.0291,-0.9683,-0.0994,0.7042,0.0658,1.3675,2067
0,-0.0767,-1.0874,0.0063,0.7047,0.0238,1.4275,2045
0,-0.1072,-1.1672,0.0613,0.6636,0.0831,1.6161,2046
0,-0.1814,-1.0576,0.1501,0.6204,0.0043,1.6827,2050
