Timestamp,Ax,Ay,Az,Rx,Ry,Rz,HR_value
0,-0.7612,-0.3469,-0.0051,0.1449,-0.1112,0.2539,166
0,-0.7112,-0.3418,0.0,0.0894,-0.1057,0.2682,166
0,-0.7775,-0.3336,-0.0224,-0.0174,-0.0152,0.2442,166
0,-0.8959,-0.3653,0.0031,-0.1188,0.0818,0.23,166
0,-0.9949,-0.3939,-0.0214,-0.2093,0.0751,0.2442,166
0,-0.9622,-0.4622,-0.1255,-0.2093,0.0751,0.2442,166
0,-1.0755,-0.4734,-0.0183,-0.1919,0.0065,0.2682,166
0,-1.1867,-0.5336,-0.0745,-0.0763,0.0631,0.2714,166
0,-1.1867,-0.5336,-0.0745,-0.1396,0.1079,0.2136,166
0,-1.2632,-0.6112,-0.0836,-0.2529,0.0872,0.1701,166
0,-1.3683,-0.7204,-0.053,-0.2495,0.0589,0.1591,166
0,-1.4847,-0.8622,-0.0295,-0.0937,-0.0469,0.1701,166
0,-1.5673,-0.8969,0.0163,-0.0294,-0.0719,0.085,166
0,-1.5377,-0.8643,0.151,0.1984,-0.1133,0.0065,166
0,-1.401,-0.751,0.1387,0.4187,0.0621,-0.0698,166
0,-1.2612,-0.4418,0.0051,0.8842,0.0402,-0.0948,166
0,-1.2357,-0.2418,-0.1357,0.8842,0.0402,-0.0948,166
0,-1.2357,-0.2418,-0.1357,1.4347,-0.1068,-0.0784,166
0,-1.1183,0.1204,-0.0255,1.7575,-0.3456,-0.0675,166
0,-0.7663,0.3224,0.1724,1.763,-0.5625,-0.2201,166
0,-0.651,0.3796,0.0979,1.4576,-0.4753,-0.4132,166
0,-0.4285,0.0693,0.1439,0.978,-0.4601,-0.4677,166
0,-0.4969,0.2765,0.0724,0.6934,-0.3117,-0.2758,166
0,-0.4061,0.0724,0.2183,0.5789,-0.157,-0.2474,166
0,-0.3908,-0.0459,0.1204,0.2768,-0.0457,-0.0316,166
0,-0.45,0.0102,0.1398,0.2191,0.1264,0.1722,166
0,-0.4877,0.0255,0.1765,0.1667,0.3151,0.3336,166
0,-0.4877,0.0255,0.1765,0.1667,0.3151,0.3336,166
0,-0.5826,0.0836,0.103,0.1503,0.4263,0.4536,166
0,-0.6459,0.1306,0.1489,0.1461,0.5059,0.5713,166
0,-0.8979,0.0693,0.1102,-0.0326,0.6944,0.5614,166
0,-0.9877,0.0959,0.1837,-0.3205,0.6062,0.5516,166
0,-1.1592,-0.05,0.0275,-0.4655,0.544,0.5385,166
0,-1.1489,-0.1082,0.0286,-0.3521,0.4044,0.5265,166
0,-1.1602,0.0479,0.1663,-0.0501,0.2344,0.5549,166
0,-1.2816,0.1857,0.1551,0.1373,0.1133,0.5767,166
0,-1.2092,0.1857,0.3643,-0.2039,-0.0305,0.4687,166
0,-1.1449,0.0622,0.3255,-0.2039,-0.0305,0.4687,166
0,-1.1449,0.0622,0.3255,-0.5059,-0.1493,0.388,166
0,-1.151,0.05,0.3745,-0.5614,-0.1755,0.3575,166
0,-1.1796,0.1091,0.3826,-0.5799,-0.2115,0.3586,166
0,-1.2367,-0.0295,0.1112,-0.9954,-0.2583,0.3073,166
0,-1.2367,-0.0295,0.1112,-1.1589,-0.2802,0.2583,166
0,-1.2122,-0.0469,0.0438,-1.1272,-0.3281,0.2245,166
0,-1.2959,0.0275,0.0102,-1.0684,-0.3891,0.1744,166
0,-1.3081,0.0357,-0.0347,-1.0543,-0.5026,0.098,166
0,-1.3959,0.0765,-0.0061,-1.0641,-0.5919,0.0217,166
0,-1.5173,0.0877,0.0479,-1.2451,-0.713,-0.0719,166
0,-1.7734,-0.1683,0.0693,-1.4794,-0.8166,-0.1547,166
0,-1.7888,-0.3857,0.0571,-1.6364,-0.978,-0.1744,166
0,-1.6398,-0.4041,0.0898,-1.6648,-1.135,-0.1995,166
0,-1.3561,-0.699,0.0183,-1.6648,-1.135,-0.1995,166
0,-1.2459,-0.2479,0.0081,-1.6026,-1.2613,-0.1493,166
0,-1.2459,-0.2479,0.0081,-1.3977,-1.2734,-0.1167,166
0,-1.1663,-0.2101,-0.0948,-1.2668,-1.3857,-0.1133,166
0,-0.8132,0.0806,-0.1,-1.4261,-1.4707,-0.1242,166
0,-0.7683,0.1204,-0.05,-1.6855,-1.0717,-0.2191,166
0,-1.1132,0.2877,-0.1632,-1.8054,-0.8733,-0.1177,166
0,-0.9275,0.254,-0.151,-2.1205,-0.9408,-0.1362,166
0,-0.9296,0.301,-0.1826,-2.2491,-0.9124,-0.1776,166
0,-0.9581,0.5663,-0.402,-2.2045,-1.099,-0.2682,166
0,-0.7786,0.5071,-0.2795,-2.2045,-1.099,-0.2682,166
0,-0.9867,0.4551,-0.2571,-2.1184,-1.1884,-0.1711,166
0,-0.9867,0.4551,-0.2571,-2.4858,-1.135,-0.0828,166
0,-0.8704,0.153,-0.2224,-2.9721,-1.1709,-0.0162,166
0,-0.9173,-0.1357,-0.2704,-3.0385,-1.2832,0.0839,166
0,-1.0255,-0.1428,-0.2643,-2.9862,-1.3988,0.1123,166
0,-0.9306,-0.1928,-0.355,-2.8074,-1.4467,0.1755,166
0,-0.9296,-0.2479,-0.2612,-2.7136,-1.3977,0.2049,166
0,-0.9796,-0.2377,-0.0775,-2.7932,-1.3813,0.23,166
0,-1.0755,-0.2612,-0.1816,-2.8488,-1.3584,0.1755,166
0,-1.0316,-0.2469,-0.2316,-2.8849,-1.5122,0.1133,166
0,-0.7949,-0.3653,-0.2408,-2.8849,-1.5122,0.1133,166
0,-0.5663,-0.1367,-0.2714,-2.9208,-1.6757,0.0894,166
0,-0.5663,-0.1367,-0.2714,-2.3441,-1.5906,0.4513,166
0,-0.6143,-0.1326,-0.1949,-2.296,-1.2211,0.4229,166
0,-0.6826,-0.1418,-0.049,-2.5883,-1.0816,0.3597,166
0,-0.7438,-0.3265,-0.1306,-2.863,-1.027,0.3412,166
0,-0.704,-0.5877,-0.2051,-2.718,-0.9626,0.4143,166
0,-0.7836,-0.65,-0.2918,-2.4084,-0.9038,0.5582,166
0,-0.9122,-0.5724,-0.2418,-2.1402,-0.8645,0.664,166
0,-0.9918,-0.5224,-0.1898,-2.1402,-0.8645,0.664,166
0,-0.9918,-0.5224,-0.1898,-2.0333,-0.8775,0.6388,166
0,-1.0724,-0.7275,-0.2786,-2.1608,-0.9246,0.6356,166
0,-1.0724,-0.7275,-0.2786,-2.1707,-0.9376,0.6705,166
0,-1.052,-0.7275,-0.2183,-2.0137,-0.9594,0.6803,166
0,-1.0449,-0.6908,-0.1816,-1.8599,-0.9496,0.6028,166
0,-1.2806,-0.5541,-0.3102,-1.5743,-1.0084,0.4349,166
0,-1.1979,-0.402,-0.1969,-1.3508,-1.2211,0.3695,166
0,-1.0908,-0.3163,-0.1224,-1.3519,-1.3083,0.3554,166
0,-1.0479,-0.3969,-0.0326,-1.5732,-1.3758,0.2823,166
0,-1.1143,-0.4581,-0.0398,-1.644,-1.3988,0.2104,166
0,-1.3102,-0.4132,-0.0183,-1.644,-1.3988,0.2104,166
0,-1.3102,-0.4132,-0.0183,-1.4729,-1.4412,0.2638,166
0,-1.1602,-0.3928,0.1673,-1.2505,-1.6201,0.3848,166
0,-0.8204,-0.3939,-0.0765,-1.2483,-1.6484,0.4034,166
0,-0.8571,-0.1296,0.0602,-1.1873,-1.6888,0.363,166
0,-0.7285,0.0816,0.3949,-1.3432,-1.6844,0.3193,166
0,-0.6,0.0734,0.4428,-1.5743,-1.4958,0.2714,166
0,-0.7765,0.199,0.199,-1.8883,-1.5579,0.2758,166
0,-0.8071,0.203,0.204,-2.1696,-1.6223,0.2594,166
0,-0.8296,0.2122,0.1908,-2.2939,-1.6757,0.3019,166
0,-0.6765,0.3184,0.1938,-2.2939,-1.6757,0.3019,166
0,-0.6765,0.3184,0.1938,-2.5577,-1.7607,0.338,166
0,-0.7245,0.1449,0.0959,-3.0538,-1.6005,0.2844,166
0,-0.7397,0.0459,0.103,-3.3591,-1.5633,0.3434,166
0,-0.7847,-0.0234,0.0939,-3.4038,-1.5122,0.4132,166
0,-0.8632,-0.1214,0.0367,-3.3939,-1.5078,0.4284,166
0,-0.8051,-0.2204,0.0857,-3.5543,-1.4565,0.3532,166
1,-0.951,-0.2918,0.0561,-3.5291,-1.33,0.3172,166
1,-1.0652,-0.3336,-0.004,-3.4986,-1.2974,0.2932,166
1,-1.1703,-0.4367,0.0347,-3.3895,-1.3388,0.2649,166
1,-1.1714,-0.5388,0.051,-3.1367,-1.3857,0.2682,166
1,-1.1949,-0.4765,0.1306,-3.1367,-1.3857,0.2682,166
1,-1.1949,-0.4765,0.1306,-2.7508,-1.3758,0.3008,166
1,-1.204,-0.4316,0.0959,-2.3353,-1.3191,0.3041,166
1,-1.1479,-0.3908,0.0602,-2.0246,-1.3029,0.35,166
1,-1.0918,-0.3245,0.2122,-1.9952,-1.2386,0.3554,166
1,-1.0571,-0.4714,0.1459,-2.1184,-1.2407,0.338,166
1,-1.0541,-0.5469,0.1969,-1.9755,-1.2308,0.3565,166
1,-1.1459,-0.6489,0.2153,-1.6986,-1.173,0.4273,166
1,-1.2612,-0.6102,0.299,-1.2625,-1.1491,0.5112,166
1,-1.2877,-0.553,0.3561,-0.991,-1.1459,0.5908,166
1,-1.2296,-0.5836,0.35,-0.991,-1.1459,0.5908,166
1,-1.2326,-0.4877,0.4326,-0.9223,-1.1415,0.5822,166
1,-1.2326,-0.4877,0.4326,-1.0423,-1.0869,0.4622,166
1,-1.2704,-0.4908,0.3877,-1.2428,-1.0618,0.2539,166
1,-1.1938,-0.5336,0.1959,-1.2865,-1.1175,0.1177,166
1,-1.1428,-0.4459,0.1806,-1.1164,-1.0673,0.0414,166
1,-1.2051,-0.303,0.2051,-1.1327,-1.0215,-0.0664,166
1,-1.1928,-0.3398,0.1112,-1.1982,-1.0139,-0.1907,166
1,-1.1908,-0.3469,0.0877,-1.1709,-1.0074,-0.2725,166
1,-1.1082,-0.3806,0.1775,-1.1709,-1.0074,-0.2725,166
1,-0.9928,-0.5295,0.0449,-1.1709,-1.0074,-0.2725,166
