,Unnamed: 0,timestamp,node,accx,accy,accz,gyrox,gyroy,gyroz,q0,q1,q2,q3,timestamp.1,node.1,accx.1,accy.1,accz.1,gyrox.1,gyroy.1,gyroz.1,q0.1,q1.1,q2.1,q3.1,timestamp.2,node.2,accx.2,accy.2,accz.2,gyrox.2,gyroy.2,gyroz.2,q0.2,q1.2,q2.2,q3.2,timestamp.3,node.3,accx.3,accy.3,accz.3,gyrox.3,gyroy.3,gyroz.3,q0.3,q1.3,q2.3,q3.3,timestamp.4,node.4,accx.4,accy.4,accz.4,gyrox.4,gyroy.4,gyroz.4,q0.4,q1.4,q2.4,q3.4,timestamp.5,node.5,accx.5,accy.5,accz.5,gyrox.5,gyroy.5,gyroz.5,q0.5,q1.5,q2.5,q3.5,timestamp.6,node.6,accx.6,accy.6,accz.6,gyrox.6,gyroy.6,gyroz.6,q0.6,q1.6,q2.6,q3.6,timestamp.7,node.7,accx.7,accy.7,accz.7,gyrox.7,gyroy.7,gyroz.7,q0.7,q1.7,q2.7,q3.7,timestamp.8,node.8,accx.8,accy.8,accz.8,gyrox.8,gyroy.8,gyroz.8,q0.8,q1.8,q2.8,q3.8
0,0,0.104,0.0,-1.13e-16,-3.63e-17,1.0,-0.012193396,0.008200446,-0.003583499,0.9999997140852874,-0.0006096696256864,0.0004099129452438,-0.00017917496537,0.104,1.0,-1.01e-17,2.29e-17,1.0,-0.008228533,0.019501927,0.014109035,0.9999991908443664,-0.0004114263170918,0.0009753858024106,0.0007054512985927,0.104,2.0,-6.78e-17,-7.94e-17,1.0,-0.000541142,0.019682149,-0.007359874,0.9999994477007944,-2.7057085056389136e-05,0.0009840969496413,-0.0003679934970267,0.105,3.0,-1.98e-17,-5.37e-17,1.0,-0.004075351,0.003023529,-0.007121008,0.9999999044372634,-0.0002037675305274,0.0001511038840424,-0.0003560503807584,0.105,4.0,4.88e-17,4.37e-17,1.0,0.006959658,0.002589288,0.000903864,0.9999999300542656,0.00034798287566,0.0001294486644848,4.519320231146749e-05,0.058,5.0,1.39e-17,-3.65e-19,1.0,-0.000937234,-0.003141205,0.005294546,0.9999999515297094,-4.68616977285998e-05,-0.0001570478368165,0.0002647272877499,0.058,6.0,1.06e-16,-4.64e-17,1.0,0.008229106,0.01051093,0.002028713,0.9999997721301204,0.0004114552062417,0.0005255046440174,0.0001014356440584,0.0,7.0,2.75e-17,2.63e-17,1.0,0.002203329,-0.003944308,-0.007082912,0.9999999117828704,0.0001101664402814,-0.0001971763676421,-0.0003541455730564,0.0,8.0,-1.76e-17,5.66e-17,1.0,0.002142228,0.010397954,-0.011056438,0.9999997062800772,0.0001071113685392,0.0005199567608059,-0.0005528217439676
1,1,0.127,0.0,-1.34e-16,-1.58e-17,0.980229055,0.002039067,0.010713471,0.00242188,0.9999994893859084,-0.000446603707364,0.0009046307134789,-5.844932274986359e-05,0.127,1.0,-3.61e-17,3.63e-17,0.980147948,0.000983519,0.009632333,0.01302745,0.999998103987194,-0.0003208122178121,0.0013597065510965,0.0013565764382714,0.127,2.0,-8.36e-17,-7.91e-17,0.979914792,0.001374372,0.009629997,0.018847633,0.9999988995453588,4.547174093404225e-05,0.0013671180727968,0.0005743070320917,0.128,3.0,-4.31e-17,-6.23e-17,0.979623397,0.009949529,0.012311082,0.001941445,0.9999996347592076,0.00031431938522,0.0007513396893404,-0.0002591784069477,0.128,4.0,1.04e-16,3.93e-17,0.98015764,0.016205591,0.011451359,-0.008624457,0.9999990567647856,0.0011233815200815,0.0006895921966877,-0.0003859353592495,0.132,5.0,-2.1e-17,4.5e-17,0.979643813,-0.012826074,-0.004228595,-0.005883898,0.9999997037059648,-0.0006833768529339,-0.0003531435196936,-2.955865639747941e-05,0.132,6.0,9.59e-17,-2.32e-17,0.980241297,0.004728071,0.008214786,-0.004081285,0.9999994201906114,0.0006065641882381,0.0008838409864886,-0.0001025838034666,0.058,7.0,0.000983686,0.000161353,0.98045143,-0.000883592,0.003976937,-0.016023948,0.99999933018905,6.340932700820695e-05,-2.871332407315107e-05,-0.0011553251725819,0.058,8.0,-0.000737692,0.000667851,0.980457551,0.000668141,0.005436642,-3.65e-05,0.9999995305871264,0.0001640354862411,0.0007773758127443,-0.0005546212503364
2,2,0.181,0.0,-1.34e-16,-1.58e-17,0.980229055,0.011901497,0.008487614,0.01137297,0.9999990846443532,0.0001936703148657,0.0012384027889133,0.000509471095423,0.181,1.0,0.000571886,-0.000758183,0.97983473,0.003179862,0.005716653,0.005898679,0.9999975266043328,-0.0001683747414754,0.0014805984233823,0.0016511400521706,0.181,2.0,0.000943416,0.000310536,0.979798456,0.006873531,0.0017403,-0.004125035,0.999999046471846,0.0004001434156794,0.00126956723502,0.0003676134943871,0.182,3.0,-0.000208313,0.000974816,0.979543775,0.015888567,0.009560284,0.007525617,0.9999986798909286,0.0011274825919805,0.0011642090934676,0.0001166901519253,0.182,4.0,-8.43e-05,0.000986591,0.980297414,0.021955959,0.007926064,0.010985081,0.9999971347735914,0.0021596918759342,0.0010196050557588,0.0001630372307346,0.193,5.0,0.010907152,-0.000252724,0.961151377,-0.293308461,-0.143263803,0.332509013,0.9997149477806416,-0.015295359526215,-0.0077913806211068,0.0165942625304676,0.192,6.0,-0.006590015,0.004488366,0.979588396,0.042885463,0.018762847,0.2008221,0.9999442611304682,0.00292811282722,0.0020401982880734,0.0099367186967578,0.132,7.0,2.17e-17,5.57e-17,0.980530979,-0.001332485,0.007033568,0.010953486,0.9999997622393506,-9.165278953287332e-06,0.0003259183243727,-0.0006076302215365,0.133,8.0,-0.001475384,0.001335702,0.980358628,0.002126003,0.010933095,0.003263337,0.999998998352487,0.0003225266676206,0.0013213899908037,-0.0003914065200898
3,3,0.267,0.0,-1.34e-16,-1.58e-17,0.980229055,0.002036858,-0.003548238,0.003642256,0.9999992836238042,0.0002764620395393,0.0009371523648682,0.0006914232162974,0.267,1.0,0.000772283,0.000626355,0.980041842,0.013814345,0.006851967,-0.011980589,0.9999979449908946,0.0005697464786661,0.0016372701271521,0.0010510706296854,0.267,2.0,0.000943416,0.000310536,0.979798456,0.015183153,0.005666413,-0.011773091,0.9999983816109974,0.0011342985856544,0.001378739932087,-0.0002218519867367,0.268,3.0,-0.000416625,0.001949632,0.979464152,0.011871346,0.005485036,-0.003361407,0.9999976379902176,0.0017075951898998,0.0013436751331926,-5.167000350467605e-05,0.268,4.0,-0.000168545,0.001973182,0.980437187,0.014905496,0.00335716,0.000274578,0.9999954948350634,0.0027896069771696,0.0010941969378243,0.000176452687527,0.253,5.0,0.000296241,-0.000889025,0.979992919,-0.017445749,0.000236442,-0.003091781,0.999732418538636,-0.0146823572128206,-0.0070332318463391,0.0164333003185557,0.252,6.0,-0.000823752,0.000561046,0.980159684,0.006562595,0.006242524,-0.010493613,0.9999488310973216,0.0029874447425457,0.0021954210046377,0.0094122519952968,0.193,7.0,-5.29e-05,-0.000163157,0.979545798,-0.052393569,0.085040588,0.116992639,0.9999723743394244,-0.0026316908796637,0.0045649210689342,0.005242733706976,0.193,8.0,0.009589996,-0.008682061,0.981842479,0.015729734,-0.04317851,0.018160168,0.9999986022677396,0.0006348332029261,-0.0014586985963446,0.0005144392839917
4,4,0.332,0.0,-1.34e-16,-1.58e-17,0.980229055,-0.006274422,-0.007962942,-0.00927497,0.9999998728920074,-6.506460856437827e-05,0.000445042756962,0.0002278585304673,0.332,1.0,0.000772283,0.000626355,0.980041842,0.006495527,0.001765516,-0.01303119,0.999998382998068,0.0008683850386617,0.0015233592780479,0.0003991054801826,0.333,2.0,0.000654186,0.001252687,0.979967858,0.00919254,0.009115915,-0.022640848,0.9999965071949356,0.0015429412170244,0.0016649124524418,-0.0013538821424913,0.333,3.0,-0.000624938,0.002924448,0.97938453,4.49e-06,-0.004850733,-0.019943064,0.9999975297288076,0.0016850083220001,0.0010003481896594,-0.0010490885267412,0.333,4.0,-0.000168545,0.001973182,0.980437187,-0.004086516,-0.007307322,-0.01331935,0.9999967865456472,0.0024062824909868,0.0006295919354594,-0.0004902213251091,0.329,5.0,0.000296241,-0.000889025,0.979992919,0.010080612,0.014726625,0.003951223,0.999764596439702,-0.0127690762247698,-0.0055989356357338,0.0166239080204585,0.329,6.0,-0.000823752,0.000561046,0.980159684,0.010743349,0.008766958,-0.009674934,0.9999518277780264,0.003248878939225,0.0024631232537198,0.0089286019543519,0.253,7.0,2.17e-17,5.57e-17,0.980530979,0.002392669,0.004512166,0.012411115,0.9999708914288412,-0.0022472487695145,0.0043360644693793,0.0058621423467994,0.253,8.0,-0.002213076,0.002003552,0.980259704,0.009841326,0.013302346,0.005831965,0.9999988530089132,0.001164784577883,-0.0005348648406574,0.0008069556042488
5,5,0.389,0.0,-1.34e-16,-1.58e-17,0.980229055,-0.021848446,-0.017839166,-0.012570378,0.9999991362631084,-0.0011510559078732,-0.0004923919299607,-0.0004001168847107,0.39,1.0,0.000772283,0.000626355,0.980041842,0.000909466,-0.001485343,-0.012017983,0.9999988202969644,0.0008581053728991,0.0012579026313426,-0.0002018435486448,0.39,2.0,0.000943416,0.000310536,0.979798456,0.000714766,0.010259428,-0.00432434,0.999995803522524,0.0014405024856459,0.0019634900774234,-0.0015692662764337,0.39,3.0,-0.000416625,0.001949632,0.979464152,-0.007504424,-0.005842969,-0.025597789,0.9999963206752964,0.0012392469278943,0.0006313086131439,-0.0023290239064584,0.39,4.0,-0.000168545,0.001973182,0.980437187,-0.008573801,-0.00473755,-0.002946461,0.9999980512195774,0.0018373875907186,0.0003387826220659,-0.0006378010851276,0.41,5.0,-0.000296241,0.000889025,0.979294706,0.016340174,0.013418266,0.014305501,0.999783678985397,-0.01064556363483,-0.0043312886045023,0.0173351420053621,0.41,6.0,-0.001647504,0.001122091,0.980078072,0.007029539,0.008023277,-0.002964905,0.9999522493209484,0.0033279991646612,0.0027061462252792,0.0087806760641554,0.329,7.0,2.17e-17,5.57e-17,0.980530979,0.006272135,0.007496342,-0.001578312,0.9999726700376694,-0.001711469758642,0.0042789771482219,0.0057810382773882,0.329,8.0,-0.002213076,0.002003552,0.980259704,0.00473447,0.008825899,-0.007478407,0.9999989414827642,0.001386976806578,7.358968416791553e-05,0.0004334896161992
6,6,0.496,0.0,0.001146686,-0.001910654,0.979211946,-0.020539635,-0.003134124,-0.015896056,0.9999967348860432,-0.0021601831792165,-0.0006596763348159,-0.0011952627402394,0.496,1.0,0.001344168,-0.000131828,0.979728624,-0.027571362,0.005019016,-0.027942065,0.999997672797424,-0.0006147196531729,0.001313882947012,-0.0015969442964871,0.496,2.0,0.001232646,-0.000631615,0.979629053,-0.025120072,0.004089456,-0.053269409,0.9999892284328116,3.2134136775657816e-06,0.0019107230661535,-0.0042299108015181,0.496,3.0,-0.000416625,0.001949632,0.979464152,-0.013960831,-0.00142288,-0.035695371,0.9999912715840996,0.0005155667213757,0.0005206155527088,-0.0041133813363466,0.497,4.0,-0.000168545,0.001973182,0.980437187,-0.016078416,-0.002493662,-0.045785978,0.9999952471530058,0.0009495045000901,0.000191438616911,-0.0029270230369754,0.433,5.0,-0.00130226,0.002012931,0.980146036,0.038118468,0.022728676,-0.005462373,0.9998221204294958,-0.007592492078566,-0.0026627925292123,0.0170584612392175,0.432,6.0,-0.001647504,0.001122091,0.980078072,0.005448043,0.008149367,-0.011798014,0.9999566447648696,0.0033189216536559,0.0029318820222775,0.0081913013281733,0.41,7.0,2.17e-17,5.57e-17,0.980530979,-0.000854778,0.012745818,-0.024209738,0.9999782287451476,-0.0015919259879907,0.0044861858170511,0.0045696765947909,0.41,8.0,-0.002213076,0.002003552,0.980259704,0.00749094,0.013508858,0.00358159,0.9999979595884014,0.0017246911925557,0.0008544515222751,0.0006133285580803
7,7,0.525,0.0,0.000742045,-0.002796901,0.979437403,-0.033476176,-0.023904584,-0.018575401,0.9999890015581866,-0.0037615923567736,-0.001828126792218,-0.002122531044264,0.526,1.0,0.001420405,-0.001697578,0.980465247,-0.028673896,-0.002953795,-0.010655942,0.9999951197258792,-0.0020745561464865,0.0009636922930901,-0.0021279187916286,0.526,2.0,0.00057846,-0.001884302,0.979575987,-0.030238998,0.011066327,-0.010146766,0.9999849757442522,-0.0016039667445206,0.0022494204407674,-0.0047345204752579,0.526,3.0,0.000725255,0.001148717,0.979230389,-0.018802368,-0.006886041,-0.021961832,0.9999863300791336,-0.0004195828016209,9.039019129451032e-05,-0.0052110876746028,0.526,4.0,-8.43e-05,0.000986591,0.980297414,-0.020680741,-0.006614859,-0.019471359,0.9999923723421428,-0.0001302971434368,-0.0001513936248096,-0.0039006871392139,0.528,5.0,-0.002267507,0.005988175,0.979630543,0.051596269,0.024595485,-0.006145971,0.9998513458635256,-0.0039703866619866,-0.0010032172214606,0.0167486047137522,0.528,6.0,-0.002471256,0.001683137,0.979996459,0.010975624,0.011741152,-0.004404625,0.9999560564336424,0.0036151731807387,0.0033578023587139,0.007971253845606,0.433,7.0,2.17e-17,5.57e-17,0.980530979,0.003804353,0.003297566,-0.040611042,0.9999871716546228,-0.0012523797922363,0.004200766061495,0.0025380377342615,0.433,8.0,-0.00368846,0.003339254,0.980061858,0.00720802,0.021972531,0.006372888,0.999995283608446,0.0020824610726082,0.0020554615305112,0.0009333780805657
8,8,0.629,0.0,0.001973132,-0.005480743,0.979967891,-0.027979456,-0.004370238,-0.014754557,0.9999811560840888,-0.0050633396947751,-0.0019646649225755,-0.0028618454896349,0.629,1.0,0.002564177,-0.003213943,0.979838811,-0.030568939,-0.000526738,-0.019990975,0.9999885209585552,-0.0035608279967297,0.0007101831308779,-0.0031263549095002,0.629,2.0,0.001319133,-0.003894773,0.980215839,-0.02982204,0.001354052,-0.032690366,0.9999727586094472,-0.0031369681960302,0.0020277647823293,-0.0063662893067385,0.63,3.0,0.00114188,-0.000800915,0.979389634,-0.022924325,-0.006275223,-0.030003588,0.9999762123551216,-0.0015667750723994,-0.0002868610420752,-0.0067110096498283,0.63,4.0,1.04e-16,3.93e-17,0.98015764,-0.016442325,-0.002429698,-0.031472663,0.999984541168192,-0.000939606503762,-0.0002560089485893,-0.0054743971062776,0.578,5.0,-0.002563748,0.0068772,0.979281436,0.026177422,0.012156916,0.013244561,0.9998465734329176,-0.0019266647871629,-0.000135194947568,0.0174097466833147,0.578,6.0,-0.002471256,0.001683137,0.979996459,0.009394217,0.010310279,0.001720685,0.9999535752840752,0.0038043955499927,0.0036676975230125,0.0080574093835555,0.528,7.0,-5.29e-05,-0.000163157,0.979545798,9.97e-06,0.010329022,-0.033776794,0.9999897503687863,-0.0011433836969601,0.0042978853764247,0.0008485354351528,0.528,8.0,-0.00368846,0.003339254,0.980061858,0.005160969,0.013133972,0.006075461,0.9999929529570012,0.0023024546516858,0.002694482189476,0.0012379437159357
9,9,0.675,0.0,0.002327227,-0.005859899,0.979112989,-0.03431551,-0.004787937,-0.008414973,0.9999707536318918,-0.0065721666713239,-0.0021234271965595,-0.0032847470300771,0.676,1.0,0.00236378,-0.004598482,0.979631699,-0.024725299,-0.005448319,-0.018025461,0.9999809239101604,-0.0046775553293983,0.0002464939447631,-0.0040263547604967,0.676,2.0,0.001897593,-0.005779076,0.979877034,-0.028921988,0.002841221,-0.039424717,0.9999530703594938,-0.0045678831177631,0.0018722992895496,-0.0083358273623153,0.676,3.0,0.001350193,-0.001775731,0.979469256,-0.023142469,-0.005254398,-0.030086969,0.9999625456798996,-0.0026596154408563,-0.0005854342912866,-0.0082152875647494,0.676,4.0,-0.00084158,-0.001115976,0.980372912,-0.018900929,-0.002957722,-0.029227961,0.9999741845815688,-0.0018477824433047,-0.000332585097943,-0.0069357953849076,0.627,5.0,-0.00416225,0.009779156,0.979434553,0.03563301,0.019021984,0.009204793,0.9998396224928342,0.0005261522233061,0.0010811711212725,0.0178685065473076,0.627,6.0,-0.003295007,0.002244183,0.979914847,0.005880484,0.01018187,-0.002190383,0.9999531602831466,0.0038266166055048,0.0039818316987744,0.0079485383200083,0.627,7.0,-5.29e-05,-0.000163157,0.979545798,-0.000883022,0.0109429,-0.015051721,0.9999896512206768,-0.0010852270632743,0.0044170822375524,9.548966813894976e-05,0.627,8.0,-0.004426152,0.004007105,0.979962934,0.002743234,0.006371629,0.011973284,0.9999909914005204,0.002414757155268,0.0029684187026162,0.0018369964864358
