Timestamp,Ax,Ay,Az,Rx,Ry,Rz,EMG
0,0.2173,-0.8977,0.5823,0.0487,0.1421,-0.1803,2047
0,0.2136,-0.875,0.5198,0.0421,0.179,-0.163,2050
1,0.2046,-0.886,0.4897,0.0269,0.2033,-0.1362,2049
1,0.197,-0.8931,0.5107,0.0547,0.2059,-0.1109,2046
1,0.2373,-0.8503,0.5393,0.1051,0.1485,-0.0823,2058
1,0.2756,-0.8389,0.5823,0.135,0.0864,-0.0579,2053
1,0.2837,-0.8464,0.5918,0.1164,0.0613,-0.0389,2052
1,0.2498,-0.8633,0.5688,0.0794,0.0871,-0.0095,2046
1,0.2031,-0.8669,0.5828,0.0716,0.1292,0.0184,2049
1,0.1807,-0.8608,0.6177,0.0615,0.1337,0.0288,2051
1,0.1689,-0.8589,0.6345,0.0579,0.1208,0.0346,2050
1,0.1704,-0.8518,0.6106,0.0284,0.1182,0.0324,2004
1,0.1519,-0.855,0.6042,0.0145,0.1384,0.0317,2055
1,0.1348,-0.8655,0.5974,0.0166,0.1455,0.0372,2057
1,0.1157,-0.8535,0.6152,0.0158,0.1173,0.0388,2057
1,0.1426,-0.8667,0.6208,0.0015,0.0822,0.0352,2054
1,0.1584,-0.8848,0.5935,-0.022,0.1037,0.0378,2051
1,0.1448,-0.8882,0.5781,-0.0429,0.1441,0.0535,2053
1,0.1497,-0.8848,0.5862,-0.0542,0.1302,0.0569,2053
1,0.1716,-0.8596,0.584,-0.0546,0.1044,0.0526,2052
1,0.1543,-0.8501,0.5664,-0.073,0.1176,0.0521,2051
1,0.1333,-0.866,0.5718,-0.0727,0.1238,0.0534,2053
1,0.1257,-0.8762,0.5757,-0.0555,0.1021,0.0602,2048
1,0.127,-0.8623,0.571,-0.0297,0.0735,0.0597,2054
1,0.1021,-0.8474,0.6208,-0.0336,0.0715,0.0403,2054
1,0.053,-0.8613,0.6233,-0.0501,0.0486,0.0268,2053
1,0.0527,-0.876,0.6011,-0.0518,0.0075,0.0081,2051
1,0.1006,-0.8757,0.5837,-0.0422,0.0131,-0.0121,2053
1,0.1311,-0.873,0.573,-0.0446,0.0385,-0.0237,2054
1,0.1533,-0.8745,0.5542,-0.0527,0.0499,-0.0266,2054
1,0.1697,-0.8774,0.5566,-0.0461,0.0622,-0.0174,2054
2,0.1482,-0.8767,0.554,-0.0426,0.0712,-0.0097,2050
