Timestamp,Ax,Ay,Az,Rx,Ry,Rz,HR_value
0,-0.1571,0.0786,1.0867,-0.2136,-0.2998,0.1221,183
0,-0.1571,0.0786,1.0867,-0.2856,-0.2823,0.1123,183
0,-0.15,0.0388,1.0877,-0.3357,-0.2682,0.1035,183
0,-0.1296,0.0122,1.0796,-0.3422,-0.2464,0.1013,183
0,-0.1091,0.0031,1.0786,-0.3172,-0.2115,0.1013,183
0,-0.0898,-0.0132,1.0826,-0.2998,-0.1701,0.098,183
0,-0.0898,-0.0316,1.0847,-0.2998,-0.1352,0.0883,183
0,-0.0786,-0.05,1.0734,-0.2802,-0.1068,0.086,183
0,-0.0867,-0.0479,1.0765,-0.2409,-0.0784,0.086,183
0,-0.0867,-0.0479,1.0765,-0.2409,-0.0784,0.086,183
0,-0.1091,-0.0591,1.0561,-0.2093,-0.0435,0.085,183
0,-0.1091,-0.0591,1.0561,-0.1962,-0.0174,0.0774,183
0,-0.1163,-0.0693,1.0561,-0.181,0.0108,0.0698,183
0,-0.152,-0.0836,1.0398,-0.1482,0.0425,0.0589,183
0,-0.1724,-0.0816,1.0275,-0.0992,0.0708,0.049,183
0,-0.1949,-0.0622,1.0143,-0.0511,0.0904,0.0457,183
0,-0.204,-0.051,0.999,-0.0228,0.1003,0.037,183
0,-0.2255,-0.0693,0.9755,-0.025,0.1089,0.0217,183
0,-0.2285,-0.0786,0.9734,-0.0162,0.11,0.0174,183
0,-0.2265,-0.0632,0.9775,-0.0162,0.11,0.0174,183
0,-0.2265,-0.0632,0.9775,0.0108,0.11,0.0228,183
0,-0.2397,-0.0734,0.9775,0.0174,0.1144,0.0206,183
0,-0.2336,-0.0939,0.9642,0.0294,0.1089,0.0294,183
0,-0.2224,-0.0816,0.9683,0.0643,0.1133,0.0435,183
0,-0.2255,-0.0745,0.9601,0.0915,0.1198,0.0545,183
0,-0.2255,-0.0591,0.9592,0.11,0.1286,0.0621,183
0,-0.2224,-0.053,0.9612,0.1057,0.1341,0.073,183
0,-0.2285,-0.0643,0.954,0.086,0.1396,0.0774,183
0,-0.2265,-0.0693,0.949,0.085,0.1547,0.085,183
0,-0.2377,-0.0652,0.9479,0.085,0.1547,0.085,183
0,-0.2377,-0.0652,0.9479,0.1144,0.1678,0.0992,183
0,-0.2551,-0.0398,0.9459,0.1406,0.1787,0.1035,183
0,-0.2704,-0.0347,0.9459,0.1384,0.1852,0.1057,183
0,-0.2765,-0.0479,0.9296,0.1297,0.1951,0.1013,183
0,-0.2836,-0.0479,0.9244,0.1428,0.1984,0.098,183
0,-0.299,-0.0275,0.9255,0.1635,0.206,0.0937,183
0,-0.3051,-0.0357,0.9203,0.157,0.2125,0.085,183
0,-0.3122,-0.0449,0.9235,0.1471,0.2191,0.0708,183
0,-0.3163,-0.0673,0.9194,0.1384,0.2321,0.0555,183
0,-0.3489,-0.102,0.9183,0.1384,0.2321,0.0555,183
0,-0.3663,-0.1071,0.9235,0.1503,0.2464,0.0469,183
0,-0.3663,-0.1071,0.9235,0.1798,0.2464,0.0446,183
0,-0.3939,-0.1102,0.9285,0.2027,0.2474,0.0414,183
0,-0.4081,-0.1163,0.9244,0.2256,0.2409,0.037,183
0,-0.4224,-0.1112,0.9132,0.2573,0.23,0.0337,183
0,-0.4337,-0.0887,0.9153,0.2976,0.2224,0.036,183
0,-0.4377,-0.0632,0.9194,0.3172,0.2115,0.036,183
0,-0.45,-0.0469,0.9244,0.3052,0.1962,0.0349,183
0,-0.452,-0.0265,0.9244,0.2888,0.1831,0.0337,183
0,-0.449,-0.0051,0.9183,0.2856,0.1635,0.0392,183
0,-0.4428,0.0122,0.9224,0.2856,0.1635,0.0392,183
0,-0.4224,0.0316,0.9275,0.2747,0.1428,0.036,183
0,-0.4224,0.0316,0.9275,0.2464,0.1308,0.0261,183
0,-0.4122,0.0286,0.9255,0.2039,0.11,0.0185,183
0,-0.3989,0.0265,0.9203,0.1744,0.1003,0.012,183
0,-0.3949,0.0336,0.9173,0.1537,0.0937,0.0032,183
0,-0.3785,0.0469,0.9224,0.1352,0.0883,0.0011,183
0,-0.3796,0.0459,0.9275,0.1024,0.0751,-0.0087,183
0,-0.3724,0.0418,0.9265,0.0664,0.0719,-0.0152,183
0,-0.3694,0.0388,0.9306,0.0402,0.0631,-0.025,183
0,-0.3663,0.0336,0.9367,0.0402,0.0631,-0.025,183
0,-0.3582,0.0132,0.9408,0.0097,0.0599,-0.0305,183
0,-0.3582,0.0132,0.9408,-0.0337,0.0511,-0.0402,183
0,-0.3582,0.001,0.9347,-0.061,0.0511,-0.049,183
0,-0.351,-0.0102,0.9387,-0.073,0.0479,-0.0555,183
0,-0.3602,-0.0418,0.9163,-0.0806,0.0545,-0.0664,183
0,-0.3602,-0.0561,0.8979,-0.085,0.0534,-0.0751,183
0,-0.3673,-0.0652,0.902,-0.0872,0.0501,-0.0818,183
0,-0.3714,-0.0877,0.8928,-0.0937,0.0446,-0.0894,183
0,-0.3745,-0.1214,0.8908,-0.0795,0.036,-0.0915,183
0,-0.3775,-0.1214,0.901,-0.0795,0.036,-0.0915,183
0,-0.3694,-0.1265,0.9112,-0.0469,0.0228,-0.0894,183
0,-0.3694,-0.1265,0.9112,-0.0272,0.0141,-0.0883,183
0,-0.3724,-0.1357,0.9214,-0.0141,0.0087,-0.0894,183
0,-0.355,-0.1469,0.9255,0.012,0.0032,-0.0784,183
0,-0.3571,-0.1285,0.9316,0.0511,0.0076,-0.0664,183
0,-0.3582,-0.1122,0.9387,0.0828,0.0196,-0.0566,183
0,-0.3582,-0.1041,0.9408,0.085,0.0217,-0.0545,183
0,-0.3663,-0.0989,0.9449,0.0698,0.0206,-0.0501,183
0,-0.3704,-0.1,0.9459,0.0599,0.0206,-0.0523,183
0,-0.3755,-0.1082,0.9469,0.0599,0.0206,-0.0523,183
0,-0.3755,-0.1082,0.9469,0.0511,0.0174,-0.0523,183
0,-0.3775,-0.1132,0.9459,0.0664,0.0053,-0.0511,183
0,-0.3826,-0.102,0.9459,0.098,0.0043,-0.0457,183
0,-0.3826,-0.0867,0.95,0.1232,0.0053,-0.0446,183
0,-0.3816,-0.0775,0.952,0.1297,-0.0021,-0.0435,183
0,-0.3837,-0.0673,0.9571,0.1188,-0.0043,-0.0425,183
0,-0.3775,-0.0602,0.9622,0.1155,-0.0108,-0.0414,183
0,-0.3816,-0.05,0.9601,0.1112,-0.0097,-0.0381,183
0,-0.3724,-0.0469,0.9612,0.1047,-0.0141,-0.036,183
0,-0.3714,-0.0438,0.9592,0.1047,-0.0141,-0.036,183
0,-0.3714,-0.0438,0.9592,0.0915,-0.0196,-0.0326,183
0,-0.3714,-0.0326,0.949,0.0839,-0.024,-0.0316,183
0,-0.3724,-0.0326,0.9449,0.0686,-0.0305,-0.025,183
0,-0.3745,-0.0265,0.9387,0.0469,-0.0294,-0.0217,183
0,-0.3734,-0.0367,0.9367,0.0261,-0.037,-0.0228,183
0,-0.3704,-0.0388,0.9357,0.0097,-0.0392,-0.025,183
0,-0.3602,-0.0459,0.9408,-0.0043,-0.0457,-0.025,183
0,-0.3561,-0.051,0.9408,-0.0162,-0.0414,-0.0261,183
0,-0.3398,-0.0693,0.9398,-0.024,-0.0479,-0.024,183
0,-0.3418,-0.0734,0.9387,-0.0294,-0.0479,-0.0217,183
0,-0.3428,-0.0826,0.9326,-0.0294,-0.0479,-0.0217,183
0,-0.3428,-0.0826,0.9326,-0.0326,-0.049,-0.0206,183
0,-0.3469,-0.0948,0.9306,-0.0282,-0.0457,-0.0185,183
0,-0.3469,-0.1061,0.9224,-0.0162,-0.0381,-0.0196,183
0,-0.3448,-0.1091,0.9214,0.0011,-0.036,-0.0185,183
0,-0.355,-0.1061,0.9265,0.0316,-0.0326,-0.024,183
0,-0.352,-0.1082,0.9244,0.0501,-0.0294,-0.0217,183
0,-0.3469,-0.1122,0.9194,0.0523,-0.024,-0.0185,183
0,-0.3469,-0.1183,0.9081,0.0675,-0.0217,-0.0108,183
0,-0.3489,-0.1132,0.9081,0.0992,-0.0152,-0.0087,183
1,-0.3653,-0.105,0.9081,0.1352,-0.0162,-0.0076,183
1,-0.3785,-0.0948,0.9163,0.1657,-0.024,-0.0097,183
