Timestamp,Ax,Ay,Az,Rx,Ry,Rz,EMG
0,-0.6104,-1.0625,-0.3262,0.5593,-1.1142,-0.9266,2047
0,-0.7671,-0.9558,-0.3491,0.4581,-0.9866,-0.7902,2046
0,-0.7134,-1.0037,-0.3271,0.5516,-0.8865,-0.8223,2052
0,-0.6082,-1.0535,-0.3306,0.4396,-0.8661,-0.8092,2046
0,-0.8364,-0.9434,-0.3391,0.4513,-0.7883,-0.7973,2045
0,-0.7263,-1.009,-0.3645,0.3621,-0.7729,-0.7811,2045
0,-0.6492,-1.0017,-0.4045,0.3843,-0.6432,-0.8026,2044
0,-0.7231,-0.9971,-0.3806,0.405,-0.6031,-0.7509,2043
0,-0.7542,-1.1492,-0.3728,0.3848,-0.7064,-0.7152,2052
0,-0.782,-1.1077,-0.4348,0.4261,-0.6035,-0.6839,2045
0,-0.7874,-1.1509,-0.3843,0.4309,-0.6497,-0.593,2042
0,-0.8286,-1.1904,-0.4136,0.3488,-0.6014,-0.5141,2045
0,-0.7217,-1.2524,-0.4253,0.373,-0.609,-0.4324,2040
0,-0.752,-1.311,-0.4133,0.3819,-0.7662,-0.4108,2039
0,-0.8193,-1.332,-0.4102,0.4215,-0.9142,-0.392,2040
0,-0.8306,-1.3308,-0.4431,0.4389,-0.9859,-0.2932,2045
0,-0.8306,-1.3271,-0.4326,0.4084,-1.0147,-0.3125,2041
0,-0.8237,-1.2646,-0.3723,0.3979,-1.0355,-0.2007,2046
0,-0.7747,-1.2136,-0.3306,0.2967,-1.1146,-0.1525,2047
0,-0.7551,-1.1548,-0.2502,0.2413,-1.128,-0.0486,2046
0,-0.6201,-1.1121,-0.2251,0.1417,-1.171,0.1165,2050
0,-0.6597,-1.0396,-0.261,0.0786,-1.2312,0.2898,2047
0,-0.5139,-1.0344,-0.2339,-0.0268,-1.3684,0.445,2045
0,-0.5366,-1.0586,-0.2537,-0.0941,-1.4599,0.5959,2045
0,-0.553,-1.053,-0.3296,-0.1032,-1.3896,0.6811,2048
0,-0.5259,-1.0513,-0.3164,-0.191,-1.4588,0.7777,2043
0,-0.481,-1.0305,-0.3157,-0.2436,-1.504,0.875,2030
0,-0.4641,-1.0049,-0.2935,-0.3177,-1.547,0.9786,2033
0,-0.4402,-0.9531,-0.2749,-0.4144,-1.5597,1.052,2040
0,-0.4309,-0.9141,-0.2344,-0.5279,-1.545,1.1118,2038
0,-0.4141,-0.9004,-0.2344,-0.6048,-1.5396,1.1563,2041
0,-0.428,-0.8823,-0.23,-0.7122,-1.5391,1.2255,2056
0,-0.418,-0.8823,-0.2292,-0.8204,-1.5416,1.2896,2049
0,-0.4036,-0.9277,-0.2229,-0.9385,-1.5605,1.3387,2048
0,-0.3977,-0.967,-0.2339,-1.0405,-1.5368,1.4242,2046
0,-0.4106,-1.0186,-0.2444,-1.089,-1.4641,1.476,2047
0,-0.4392,-1.0586,-0.2539,-1.1296,-1.4078,1.5308,2046
0,-0.4546,-1.114,-0.2502,-1.1804,-1.3071,1.6095,2043
0,-0.4651,-1.1682,-0.2373,-1.2127,-1.1808,1.6554,2046
0,-0.4709,-1.1926,-0.2195,-1.2584,-1.0314,1.6845,2048
0,-0.5081,-1.2463,-0.2356,-1.2782,-0.8938,1.698,2048
0,-0.5122,-1.2605,-0.2261,-1.3224,-0.7777,1.7138,2044
0,-0.5046,-1.2532,-0.22,-1.3584,-0.6363,1.6954,2044
0,-0.511,-1.2571,-0.2129,-1.4085,-0.5179,1.6713,2045
0,-0.5181,-1.2395,-0.2075,-1.4198,-0.3814,1.6572,2046
0,-0.5005,-1.2102,-0.1924,-1.4484,-0.2586,1.6442,2044
0,-0.4915,-1.168,-0.1924,-1.5118,-0.1593,1.6106,2047
0,-0.4768,-1.1355,-0.1646,-1.5448,-0.0629,1.5918,2047
0,-0.4585,-1.1023,-0.1758,-1.602,0.0045,1.5704,2047
0,-0.4426,-1.0959,-0.1741,-1.6612,0.0438,1.5265,2047
0,-0.4292,-1.0732,-0.1753,-1.7118,0.0482,1.4857,2046
0,-0.4048,-1.0667,-0.2041,-1.7607,0.0131,1.4514,2050
0,-0.4194,-1.0833,-0.2307,-1.8044,-0.0498,1.3757,2048
0,-0.4265,-1.0847,-0.2434,-1.855,-0.1164,1.281,2048
0,-0.4341,-1.0703,-0.2822,-1.8739,-0.1732,1.1925,2041
0,-0.4229,-1.0623,-0.2866,-1.903,-0.2397,1.0986,2040
0,-0.4312,-1.0359,-0.3223,-1.9032,-0.2971,1.0122,2047
0,-0.4443,-1.0225,-0.3159,-1.9041,-0.3638,0.9333,2046
0,-0.4368,-0.9907,-0.3027,-1.8992,-0.4647,0.8417,2040
0,-0.4143,-0.938,-0.3494,-1.8414,-0.5711,0.7753,2054
0,-0.4553,-0.9001,-0.3315,-1.7695,-0.7018,0.7296,2053
0,-0.4778,-0.8923,-0.3347,-1.6953,-0.7789,0.6933,2045
0,-0.5398,-0.8926,-0.3047,-1.6157,-0.8235,0.6473,2048
0,-0.6091,-0.8984,-0.2891,-1.6313,-0.7761,0.5584,2046
0,-0.656,-0.9192,-0.2642,-1.6811,-0.7252,0.4277,2053
0,-0.6506,-0.9648,-0.262,-1.7952,-0.7068,0.2838,2046
0,-0.5266,-0.9878,-0.2651,-1.9084,-0.3891,0.1232,2048
0,-0.5032,-0.9917,-0.2651,-2.1082,-0.0056,-0.1105,2052
0,-0.4053,-0.9343,-0.3364,-2.2594,-0.0514,-0.2558,2041
0,-0.229,-0.834,-0.3716,-2.1848,-0.4777,-0.3802,2040
0,-0.1099,-0.793,-0.3396,-1.9627,-0.6866,-0.5276,2041
0,-0.2534,-0.7893,-0.3198,-1.7282,-0.646,-0.5424,2053
0,-0.3904,-0.7888,-0.3259,-1.5872,-0.5301,-0.4231,2061
0,-0.4968,-0.7373,-0.3723,-1.4114,-0.2988,-0.3083,2044
0,-0.6157,-0.7056,-0.4224,-1.2278,0.0136,-0.2876,2043
0,-0.7043,-0.6748,-0.4373,-0.9569,0.1887,-0.2497,2043
0,-0.7178,-0.7227,-0.4043,-0.7265,0.3013,-0.2959,2048
0,-0.7444,-0.7952,-0.3962,-0.5951,0.5406,-0.3292,2052
0,-0.7544,-0.73,-0.4004,-0.383,0.789,-0.3888,2045
0,-0.8147,-0.7136,-0.3992,-0.1553,1.0031,-0.4578,2042
0,-0.8633,-0.748,-0.3972,0.0625,1.1451,-0.5248,2046
0,-0.8833,-0.7549,-0.3828,0.2204,1.2527,-0.5755,2047
0,-0.8745,-0.7251,-0.3921,0.3983,1.3351,-0.6521,2044
0,-0.8635,-0.7236,-0.3613,0.5624,1.2669,-0.7015,2046
0,-0.9087,-0.689,-0.3374,0.722,1.1524,-0.7739,2045
0,-0.9226,-0.6909,-0.3447,0.9015,1.0364,-0.8584,2045
0,-0.9219,-0.7131,-0.3828,1.0058,0.8541,-0.9311,2047
0,-0.9307,-0.6799,-0.4397,1.1609,0.6112,-0.9879,2043
0,-0.9658,-0.6917,-0.5315,1.38,0.2788,-1.0653,2043
0,-1.0344,-0.7478,-0.6091,1.5901,-0.1015,-1.1551,2046
0,-1.0066,-0.8228,-0.7136,1.9426,-0.3904,-1.2429,2043
0,-1.0364,-0.9248,-0.6848,2.0588,-0.6219,-1.2171,2045
0,-0.8811,-1.0186,-0.6311,1.9984,-0.9539,-1.1519,2046
0,-0.739,-0.9705,-0.5986,1.9702,-1.2287,-1.0733,2038
0,-0.6536,-0.946,-0.5173,2.0236,-1.3746,-1.0488,2048
0,-0.5103,-1.0381,-0.4426,2.0775,-1.5253,-1.0399,2046
0,-0.4319,-1.0574,-0.4231,2.0896,-1.7768,-0.9288,2051
0,-0.426,-1.1287,-0.4041,2.1435,-1.9684,-0.9492,2051
0,-0.4883,-1.2288,-0.3745,2.1752,-2.0746,-0.9685,2043
0,-0.4805,-1.3733,-0.3845,2.055,-2.051,-0.9732,2043
0,-0.4722,-1.4109,-0.3035,1.9803,-1.9895,-0.9798,2047
0,-0.3906,-1.448,-0.2307,1.7428,-2.049,-0.9475,2044
1,-0.3108,-1.446,-0.1885,1.5331,-2.0932,-0.862,2046
1,-0.2781,-1.4561,-0.136,1.3174,-2.0489,-0.7502,2049
1,-0.3279,-1.4841,-0.0728,1.0556,-2.0012,-0.6666,2043
1,-0.3928,-1.4353,-0.0911,0.8307,-1.9952,-0.5939,2044
1,-0.4524,-1.4321,-0.0916,0.6597,-1.9414,-0.5894,2047
1,-0.4402,-1.4426,-0.1548,0.4518,-2.0542,-0.5713,2047
1,-0.4744,-1.376,-0.1377,0.3354,-1.9988,-0.5655,2045
1,-0.5383,-1.3254,-0.1526,0.2265,-1.9129,-0.5181,2041
1,-0.5518,-1.2393,-0.1736,0.1329,-1.7361,-0.4822,2046
1,-0.5667,-1.1418,-0.1978,0.0326,-1.4861,-0.4717,2042
1,-0.5625,-1.0732,-0.2119,-0.0882,-1.2188,-0.446,2039
1,-0.5286,-0.9944,-0.2673,-0.1605,-1.065,-0.4067,2045
1,-0.499,-0.9724,-0.3125,-0.2237,-1.0049,-0.3653,2041
1,-0.4543,-0.9177,-0.344,-0.2539,-0.9604,-0.316,2044
1,-0.436,-0.8848,-0.3733,-0.2962,-0.9384,-0.2876,2041
1,-0.4441,-0.8752,-0.387,-0.367,-0.8869,-0.2464,2042
1,-0.4087,-0.8613,-0.425,-0.4156,-0.8971,-0.228,2045
1,-0.3914,-0.844,-0.457,-0.4879,-0.9545,-0.2152,2043
1,-0.3611,-0.8521,-0.4783,-0.53,-1.018,-0.1816,2045
1,-0.3542,-0.8574,-0.5151,-0.5432,-1.0966,-0.1697,2047
1,-0.3232,-0.8757,-0.53,-0.5747,-1.2204,-0.1381,2049
1,-0.3154,-0.9014,-0.562,-0.5849,-1.3856,-0.1024,2046
1,-0.3342,-0.9287,-0.564,-0.5972,-1.5472,-0.0755,2046
1,-0.343,-0.9749,-0.5876,-0.6104,-1.6929,-0.0417,2042
1,-0.3672,-1.021,-0.5845,-0.6268,-1.8066,-0.0081,2045
1,-0.3857,-1.0566,-0.5811,-0.6497,-1.8635,0.0189,2042
1,-0.3816,-1.0903,-0.5688,-0.6614,-1.9337,0.0605,2048
1,-0.4116,-1.1292,-0.5427,-0.6778,-1.9943,0.0931,2046
1,-0.3801,-1.1431,-0.5042,-0.7047,-2.0829,0.1545,2041
1,-0.3823,-1.1226,-0.4646,-0.7064,-2.1351,0.2029,2045
1,-0.4556,-1.1006,-0.4006,-0.655,-2.1021,0.2743,2044
1,-0.3562,-1.1521,-0.3306,-0.6858,-2.1715,0.3029,2044
1,-0.4517,-1.1467,-0.2905,-0.7481,-2.1545,0.3334,2046
1,-0.335,-1.0754,0.1628,-1.2908,-2.1016,0.4695,2036
1,-0.4556,-1.1287,-0.2236,-0.7413,-2.117,0.4357,2051
1,-0.4963,-1.1804,-0.2209,-0.9692,-1.9654,0.4526,2043
1,-0.5388,-1.1929,-0.1887,-0.9602,-1.9097,0.5036,2044
1,-0.4692,-1.1978,-0.1406,-1.0942,-1.9094,0.5462,2047
1,-0.4539,-1.1611,-0.1846,-1.1071,-1.7753,0.6012,2047
1,-0.4666,-1.2095,-0.1714,-1.2342,-1.7179,0.6522,2047
1,-0.4072,-1.1521,-0.144,-1.2569,-1.6454,0.6984,2044
1,-0.5195,-1.1687,-0.1587,-1.3006,-1.5411,0.7211,2048
1,-0.5022,-1.1387,-0.196,-1.1724,-1.4565,0.7536,2057
1,-0.5649,-1.2063,-0.2192,-1.1761,-1.2781,0.7171,2044
1,-0.5295,-1.1902,-0.2141,-1.1718,-1.1484,0.6931,2035
1,-0.5579,-1.1516,-0.2495,-1.091,-1.0062,0.6638,2038
1,-0.5537,-1.1941,-0.2739,-1.0709,-0.7992,0.6407,2044
1,-0.4958,-1.2056,-0.2529,-1.0602,-0.747,0.6657,2045
1,-0.4937,-1.1653,-0.2913,-0.9885,-0.6636,0.6588,2045
1,-0.4644,-1.2153,-0.3467,-0.9172,-0.7854,0.6718,2048
1,-0.5632,-1.1814,-0.366,-0.8405,-0.8496,0.6116,2045
1,-0.5413,-1.2168,-0.4573,-0.7051,-0.9758,0.6128,2046
1,-0.6316,-1.2485,-0.4446,-0.5987,-0.9512,0.554,2041
1,-0.5798,-1.292,-0.4619,-0.4538,-1.0654,0.6083,2045
1,-0.6482,-1.2727,-0.428,-0.3546,-1.0316,0.5847,2044
1,-0.6411,-1.2759,-0.3918,-0.2649,-0.8678,0.5845,2044
1,-0.6809,-1.2646,-0.3511,-0.188,-0.6747,0.5857,2043
1,-0.6704,-1.2512,-0.2756,-0.1621,-0.5229,0.5845,2044
1,-0.623,-1.2634,-0.2402,-0.1237,-0.2963,0.5767,2045
1,-0.595,-1.2346,-0.1699,-0.1425,-0.191,0.5557,2045
1,-0.4822,-1.2231,-0.1296,-0.1334,-0.0939,0.5678,2047
1,-0.4529,-1.1948,-0.1289,-0.114,0.0124,0.5321,2045
1,-0.3879,-1.0862,-0.0916,-0.0979,0.0638,0.5766,2040
1,-0.3508,-0.9971,-0.0764,-0.1972,-0.059,0.6103,2043
1,-0.3604,-0.925,-0.083,-0.2457,-0.2325,0.695,2045
1,-0.4158,-0.9636,-0.084,-0.3601,-0.4629,0.716,2055
1,-0.4512,-1.0132,-0.123,-0.4089,-0.6371,0.7604,2051
